"date","city_name","industry_name","detection_count"
"2023-04-23","Mysore","Manufacturing",14
"2023-04-23","Mysore","Professional Services",15
"2023-04-23","Nadiad","Education",3
"2023-04-23","Nagapattinam","Hospitality & Healthcare",10
"2023-04-23","Nagpur","BFSI",10
"2023-04-23","Nagpur","Government",3
"2023-04-23","Nagpur","Education",6
"2023-04-23","Nagpur","IT/ITES",1
"2023-04-23","Nagpur","Manufacturing",107
"2023-04-23","Nairobi","Professional Services",3
"2023-04-23","Nakhon Pathom","Professional Services",1
"2023-04-23","Nakhon Ratchasima","Professional Services",1
"2023-04-23","Nangal","Professional Services",3
"2023-04-23","Nashik","Manufacturing",4
"2023-04-23","Nashik","Professional Services",2
"2023-04-23","Nasrapur","Manufacturing",36
"2023-04-23","Nellore","IT/ITES",1
"2023-04-23","Nellore","Education",2
"2023-04-23","New Delhi","BFSI",1
"2023-04-23","New Delhi","Education",10
"2023-04-23","New Delhi","Media & Entertainment",13
"2023-04-23","New Delhi","Hospitality & Healthcare",23
"2023-04-23","New Delhi","Logistic",14
"2023-04-23","New Delhi","Automobiles",287
"2023-04-23","New Delhi","Government",166
"2023-04-23","New Delhi","Professional Services",127
"2023-04-23","New Delhi","IT/ITES",49
"2023-04-23","New Delhi","Manufacturing",41
"2023-04-23","Noida","Hospitality & Healthcare",2
"2023-04-23","Noida","Government",6
"2023-04-23","Noida","IT/ITES",90
"2023-04-23","Noida","Manufacturing",616
"2023-04-23","Noida","Professional Services",53
"2023-04-23","Oakville","Professional Services",3
"2023-04-23","Ongole","Automobiles",1
"2023-04-23","Ooty","BFSI",3
"2023-04-23","Ottapalam","Government",60
"2023-04-23","Palakkad","Hospitality & Healthcare",2
"2023-04-23","Palghar","Manufacturing",17
"2023-04-23","Pallapatti","Manufacturing",108
"2023-04-23","Panchkula","Professional Services",2
"2023-04-23","Panipat","Manufacturing",1
"2023-04-23","Pannipitiya","Professional Services",32
"2023-04-23","Pantnagar","Government",1
"2023-04-23","Pantnagar","Education",11
"2023-04-23","Pardi","Manufacturing",1
"2023-04-23","Pathanamthitta","BFSI",2
"2023-04-23","Pathum Thani","Professional Services",3
"2023-04-23","Patiala","Hospitality & Healthcare",3
"2023-04-23","Patna","Manufacturing",1
"2023-04-23","Patna","Professional Services",38
"2023-04-23","Pattaya","Professional Services",5
"2023-04-23","Pehowa","Professional Services",4
"2023-04-23","Pehowa","Automobiles",30
"2023-04-23","Pen","Strategic & Public Enterprises",1
"2023-04-23","Petaling Jaya","Professional Services",2
"2023-04-23","Phagwara","Education",1
"2023-04-23","Phitsanulok","Professional Services",2
"2023-04-23","Phnom Penh","Professional Services",275
"2023-04-23","Pimpri-Chinchwad","Professional Services",1
"2023-04-23","Ponda","Manufacturing",3
"2023-04-23","Porbandar","Manufacturing",7
"2023-04-23","Puducherry","Government",2
"2023-04-23","Pune","Logistic",3
"2023-04-23","Pune","Hospitality & Healthcare",6
"2023-04-23","Pune","Automobiles",6
"2023-04-23","Pune","Transport",3
"2023-04-23","Pune","Education",55
"2023-04-23","Pune","BFSI",2
"2023-04-23","Pune","Power & Energy",1
"2023-04-23","Pune","Manufacturing",157
"2023-04-23","Pune","Government",11
"2023-04-23","Pune","IT/ITES",83
"2023-04-23","Pune","Professional Services",650
"2023-04-23","Quezon","Professional Services",5
"2023-04-23","Quezon City","Professional Services",42
"2023-04-23","Raiganj","Government",2
"2023-04-23","Raipur","Professional Services",10
"2023-04-23","Raipur","Manufacturing",22
"2023-04-23","Rajahmundry","Hospitality & Healthcare",2
"2023-04-23","Rajkot","Professional Services",1
"2023-04-23","Rajkot","Education",8
"2023-04-23","Rajkot","Manufacturing",59
"2023-04-23","Ranibennur","Professional Services",2
"2023-04-23","Ranibennur","Manufacturing",3
"2023-04-23","Ratchaburi","Professional Services",432
"2023-04-23","Riviera Maya","Professional Services",16
"2023-04-23","Rizal","Professional Services",2
"2023-04-23","Rohtak","Professional Services",34
"2023-04-23","Ropar","IT/ITES",1
"2023-04-23","Salem","Manufacturing",1
"2023-04-23","Salem","Hospitality & Healthcare",9
"2023-04-23","Salem","Government",2
"2023-04-23","Salem","Professional Services",239
"2023-04-23","San Pedro Sula","Professional Services",3
"2023-04-23","Sanand","Education",16
"2023-04-23","Sangli","Hospitality & Healthcare",25
"2023-04-23","Sangli","Manufacturing",282
"2023-04-23","Santa Rosa","Professional Services",9
"2023-04-23","Santiago de Cali","Professional Services",1
"2023-04-23","Seeb","Manufacturing",1
"2023-04-23","Seoul","Professional Services",2
"2023-04-23","Serampore","Professional Services",12
"2023-04-23","Sharjah","Professional Services",6
"2023-04-23","Shillong","Government",250
"2023-04-23","Shimla","Government",1
"2023-04-23","Shirpur","Education",16
"2023-04-23","Si Sa Ket","Professional Services",1
"2023-04-23","Silvassa","Manufacturing",20
"2023-04-23","Singapore","Professional Services",6
"2023-04-23","Singrauli","Education",2
"2023-04-23","Singrauli","Government",5
"2023-04-23","Sivakasi","Education",27
"2023-04-23","Siwan","Manufacturing",1
"2023-04-23","Solan","Manufacturing",1
"2023-04-23","Solan","Professional Services",20
"2023-04-23","Solan","Hospitality & Healthcare",24
"2023-04-23","Songkhla","Professional Services",4
"2023-04-23","Srinagar","Professional Services",2
"2023-04-23","Sullia","Government",530
"2023-04-23","Sunam","Government",1
"2023-04-23","Surat","Professional Services",16
"2023-04-23","Surat","Manufacturing",2016
"2023-04-23","Surendranagar","Manufacturing",8
"2023-04-23","Sydney","Manufacturing",2
"2023-04-23","Taguig","Professional Services",1
"2023-04-23","Talisay City","Professional Services",2
"2023-04-23","Tanauan","Professional Services",3
"2023-04-23","Tarlac City","Professional Services",24
"2023-04-23","Thane","Manufacturing",1
"2023-04-23","Thane","IT/ITES",3
"2023-04-23","Thane","Professional Services",11
"2023-04-23","Thane","Strategic & Public Enterprises",1
"2023-04-23","Thane","Hospitality & Healthcare",8
"2023-04-23","Thane","Education",11
"2023-04-23","Thanjavur","Education",529
"2023-04-23","Thanyaburi","Professional Services",5
